complexity,drug_pubchem_id,exact_mass,hba,hbd,heavy_atoms,molecular_formula,mw_freebase,mw_monoisotopic,smiles,tpsa
1220,3251,581.264,3,6,43,C33H35N5O5,581.673,581.264,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,118.0
378,3241,249.127,1,1,19,C16H15N3,249.317,249.127,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N,41.6
613,3231,400.189,2,6,29,C23H28O6,400.471,400.189,COC(=O)CCC=C=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O,93.1
965,3230,470.34,2,4,34,C30H46O4,470.694,470.34,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,74.6
107,3226,183.971,0,6,10,C3H2ClF5O,184.49,183.971,C(C(OC(F)F)(F)F)(F)Cl,9.2
1450,3199,761.262,4,15,54,C39H43N3O11S,761.843,761.262,CC1=C(C(=C2C3C4C5C6=C(C(N4C(C(N3C)CC2=C1)O)COC(=O)C7(CS5)C8=CC(=C(C=C8CCN7)O)OC)C9=C(C(=C6OC(=O)C)C)OCO9)O)OC,194.0
594,3191,469.298,0,3,35,C32H39NO2,469.669,469.298,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4,29.5
364,3182,254.102,2,5,18,C10H14N4O4,254.246,254.102,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,98.9
628,3181,312.209,0,2,23,C21H28O2,312.453,312.209,CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C,34.1
615,3168,379.17,1,4,28,C22H22FN3O2,379.435,379.17,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,52.6
363,3158,279.162,0,2,21,C19H21NO,279.383,279.162,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,12.5
678,3157,451.186,1,9,33,C23H25N5O5,451.483,451.186,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,112.0
534,3154,324.027,2,7,19,C10H16N2O4S3,324.428,324.027,CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,151.0
510,3152,379.215,0,4,28,C24H29NO3,379.5,379.215,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,38.8
655,3151,425.162,2,3,30,C22H24ClN5O2,425.917,425.162,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,67.9
535,3148,324.147,1,4,24,C19H20N2O3,324.38,324.147,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,62.4
1660,3143,807.347,5,14,58,C43H53NO14,807.89,807.347,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,224.0
211,3125,195.09,3,4,14,C10H13NO3,195.218,195.09,CC(CC1=CC=C(C=C1)O)(C(=O)O)N,83.6
93,3121,144.115,1,2,10,C8H16O2,144.214,144.115,CCCC(CCC)C(=O)O,37.3
201,3117,296.051,0,4,16,C10H20N2S4,296.524,296.051,CCN(CC)C(=S)SSC(=S)N(CC)CC,121.0
487,3116,416.242,0,4,30,C22H32N4O4+2,416.522,416.242,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,66.8
409,3114,339.231,1,3,25,C21H29N3O,339.483,339.231,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,59.2
561,3108,504.317,4,12,36,C24H40N8O4,504.636,504.317,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,145.0
268,3103,281.178,0,2,21,C19H23NO,281.399,281.178,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3,12.5
211,3100,255.162,0,2,19,C17H21NO,255.361,255.162,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,12.5
565,3075,415.169,1,5,29,C22H27N2O4S+,415.528,415.169,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CC[NH+](C)C)C3=CC=C(C=C3)OC,85.6
727,3074,604.3,0,12,43,C31H44N2O10,604.697,604.3,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC,115.0
1160,3066,583.279,3,6,43,C33H37N5O5,583.689,583.279,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,118.0
471,3063,301.168,1,4,22,C18H23NO3,301.386,301.168,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O,41.9
1450,3062,780.43,6,14,55,C41H64O14,780.949,780.43,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,203.0
1410,3061,764.435,5,13,54,C41H64O13,764.95,764.435,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,183.0
311,3059,250.044,2,5,18,C13H8F2O3,250.201,250.044,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,57.5
286,3054,268.146,2,2,20,C18H20O2,268.356,268.146,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,40.5
